      #Energy        TDOS
     -11.91661       0.00000
     -11.72761       0.00000
     -11.53861       0.00000
     -11.34961       0.00000
     -11.16161       0.00000
     -10.97261       0.00000
     -10.78361       0.00000
     -10.59461       0.00000
     -10.40561       0.00000
     -10.21761       0.00000
     -10.02861       0.00000
      -9.83961       0.00000
      -9.65061       0.00000
      -9.46161       0.00000
      -9.27361       0.00153
      -9.08461       0.00660
      -8.89561       0.01478
      -8.70661       0.02505
      -8.51761       0.03727
      -8.32861       0.05126
      -8.14061       0.06685
      -7.95161       0.08410
      -7.76261       0.10292
      -7.57361       0.12331
      -7.38461       0.14537
      -7.19661       0.16914
      -7.00761       0.19470
      -6.81861       0.22223
      -6.62961       0.25195
      -6.44061       0.28417
      -6.25261       0.31927
      -6.06361       0.35784
      -5.87461       0.40089
      -5.68561       0.44972
      -5.49661       0.50613
      -5.30861       0.57516
      -5.11961       0.66898
      -4.93061       0.80504
      -4.74161       0.99922
      -4.55261       1.23410
      -4.36361       1.51684
      -4.17561       1.91164
      -3.98661       2.30125
      -3.79761       2.68198
      -3.60861       3.08660
      -3.41961       3.55730
      -3.23161       4.14846
      -3.04261       4.80873
      -2.85361       5.50241
      -2.66461       6.08725
      -2.47561       6.62630
      -2.28761       7.25154
      -2.09861       7.88433
      -1.90961       8.52572
      -1.72061       9.51574
      -1.53161      10.20141
      -1.34361      10.28181
      -1.15461      10.35548
      -0.96561      10.42384
      -0.77661      10.49104
      -0.58761      10.55533
      -0.39861      10.61585
      -0.21061      10.67532
      -0.02161      10.73406
       0.16739      10.79066
       0.35639      10.84494
       0.54539      10.89815
       0.73339      10.95070
       0.92239      11.00241
       1.11139      11.05270
       1.30039      11.10182
       1.48939      11.15073
       1.67739      11.19942
       1.86639      11.24743
       2.05539      11.29353
       2.24439      11.33744
       2.43339      11.37989
       2.62139      11.41998
       2.81039      11.45768
       2.99939      11.49377
       3.18839      11.52826
       3.37739      11.56080
       3.56639      11.59061
       3.75439      11.61780
       3.94339      11.65518
       4.13239      11.70468
       4.32139      11.75525
       4.51039      11.81526
       4.69839      11.87439
       4.88739      11.92248
       5.07639      11.97367
       5.26539      12.03014
       5.45439      12.08576
       5.64239      12.13814
       5.83139      12.18823
       6.02039      12.23667
       6.20939      12.28415
       6.39839      12.33099
       6.58639      12.37847
       6.77539      12.42486
       6.96439      12.46845
       7.15339      12.51212
       7.34239      12.56315
       7.53039      12.62102
       7.71939      12.67745
       7.90839      12.73288
       8.09739      12.79123
       8.28639      12.85434
       8.47539      12.92052
       8.66339      12.98649
       8.85239      13.05294
       9.04139      13.11916
       9.23039      13.18437
       9.41939      13.25072
       9.60739      13.32021
       9.79639      13.39088
       9.98539      13.46100
      10.17439      13.53076
      10.36339      13.59978
      10.55139      13.67056
      10.74039      13.74249
      10.92939      13.81352
      11.11839      13.88485
      11.30739      13.95681
      11.49539      14.02947
      11.68439      14.10406
      11.87339      14.17888
      12.06239      14.25335
      12.25139      14.32945
      12.44039      14.40675
      12.62839      14.48513
      12.81739      14.56546
      13.00639      14.64855
      13.19539      14.73446
      13.38439      14.82115
      13.57239      14.90665
      13.76139      14.99082
      13.95039      15.07349
      14.13939      15.15486
      14.32839      15.23523
      14.51639      15.31441
      14.70539      15.39275
      14.89439      15.47010
      15.08339      15.54599
      15.27239      15.62025
      15.46039      15.69314
      15.64939      15.76506
      15.83839      15.83608
      16.02739      15.90578
      16.21639      15.97404
      16.40539      16.04096
      16.59339      16.10671
      16.78239      16.17137
      16.97139      16.23502
      17.16039      16.29745
      17.34939      16.35840
      17.53739      16.41782
      17.72639      16.47643
      17.91539      16.53560
      18.10439      16.59604
      18.29339      16.65778
      18.48139      16.72051
      18.67039      16.78478
      18.85939      16.85162
      19.04839      16.92164
