dirs,Al,Ts,mean_E
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,300,-0.07774679066920107
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,400,-0.0749220614909358
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,500,-0.0718983977972938
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,600,-0.07024772925202642
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,700,-0.06958355410697036
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,800,-0.06884588805519717
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,900,-0.06919590339815565
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1000,-0.068298912249253
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1100,-0.06827669055314774
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1200,-0.0676226459328301
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1300,-0.06756695837428561
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1400,-0.06726285926383076
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1500,-0.06698185331678848
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1600,-0.06723537720353275
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1700,-0.06692510225648587
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1800,-0.06717371178649642
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,1900,-0.06681326171372823
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2000,-0.06654585782646392
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2100,-0.0669405474992815
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2200,-0.06657113231462633
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2300,-0.06631570075714029
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2400,-0.06630570894212703
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2500,-0.06637060487715507
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2600,-0.06612576934537806
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2700,-0.0663138931724371
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2800,-0.06605451977551012
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,2900,-0.06573135823353093
Ti0.75_Al0.05_Nb0.10_Zr0.10,0.05,3000,-0.06585519686684017
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,300,-0.1352078743083512
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,400,-0.1323520332179421
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,500,-0.1271186879983119
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,600,-0.12567370476026068
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,700,-0.12287461624702074
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,800,-0.1201720318343442
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,900,-0.11889886146407022
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1000,-0.11790382022440847
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1100,-0.11696952699962784
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1200,-0.11724884442031161
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1300,-0.11596621856679552
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1400,-0.1153920207825687
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1500,-0.11460119571063895
Ti0.70_Al0.10_Nb0.10_Zr0.10,0.1,1600,-0.11390755668059498
